year,voter_name,affiliation,yr_contrary,num_awards_voted
2015,Tony Fiorentino,Sun Sports,2.2295096125248985,4
2015,Vince Ellis,Detroit Free Press,6.830502733316866,9
2015,Walt Frazier,MSG Network,2.0522316629132167,3
2015,Zach Lowe,Grantland,6.6242473637839225,9
2016,A. Sherrod Blakely,CSNNE.com,3.7621542301310544,4
2016,Aaron Falk,Salt Lake Tribune,6.226312919470513,9
2016,Adam Himmelsbach,Boston Globe,3.9180071006215478,5
2016,Adrian Chavarria,KEYH 850 AM,3.449372981152582,4
2016,Al Iannazzone,Newsday,2.3423418918006207,4
2016,Alan Horton,WCCO 830-AM,6.033591541914341,9
2016,Andre Aldridge,Fox Sports South,6.416779324220445,9
2016,Andy Vasquez,Bergen Record,4.408778032671282,5
2016,Anthony Slater,The Oklahoman,3.417103381114011,6
2016,Antonio Harvey,Fox Sports Radio/620AM,6.572361181343436,7
2016,Bill Land,Fox Sports Southwest,6.115281879900135,9
2016,Bill Oram,Orange County Register,5.0952454903957225,9
2016,Bill Reiter,CBSSports.com,6.250601273374828,9
2016,Bill Schoening,WOAI Radio,6.62528147130102,9
2016,Bill Simmons,Bill Simmons Podcast/HBO,7.282066826685359,9
2016,Bill Wennington,ESPN AM 1000,3.5092675740161514,4
2016,Bill Worrell,Root Sports Southwest,6.734872310473937,4
2016,Bob Fitzgerald,Comcast SportsNet Bay Area,3.373203187243343,4
2016,Bob Rathbun,Fox Sports South,7.147506253439477,9
2016,Brendan Brown,MSG Network,3.434672731994492,4
2016,Brian Davis,Fox Sports Oklahoma,6.777994412446132,6
2016,Brian Lewis,New York Post,4.28642583599081,5
2016,Brian Mahoney,Associated Press,6.748326181952206,9
2016,Brian Scalabrine,Comcast SportsNet New England,3.6437593950618177,4
2016,Brian Sieman,The Beast 980,5.652417211376597,7
2016,Brian Windhorst,ESPN.com,7.793374428827634,9
2016,Calvin Watkins,ESPN.com Houston,2.252992392670685,3
2016,Candace Buckner,Indianapolis Star,5.094316711950584,5
2016,Cedric Maxwell,98.5 The Sports Hub,4.187095210564554,4
2016,Charles Gardner,Milwaukee Journal Sentinel,6.361835944093863,9
