voter_name,affiliation,year,yr_contrary,num_awards_voted
Chris Marlowe,Altitude Sports & Entertainment,2016,49.048528189026705,7
Chris Sheridan,Sheridanhoops.com,2016,75.7786840062362,9
Chuck Cooperstein,ESPN 103.3,2016,46.95638831723647,6
Chuck Swirsky,ESPN AM 1000,2016,30.59001868781459,3
Craig Ackerman,Sportstalk 790 AM,2016,8.006066618731943,3
Dan Woike,Orange County Register,2016,43.553767393342795,7
Dante Marchitelli,Fox Sports Florida,2016,46.38219831833895,6
Dave Johnson,106.7 The Fan,2016,38.42199345000745,7
Dave McMenamin,ESPN.com,2016,30.235353153823574,4
David Aldridge,TNT,2016,68.74108303480787,9
David Mayo,Mlive Media Group,2016,45.15330616470788,6
David Steele,Fox Sports Florida,2016,34.21138227709593,5
David Wesley,Fox Sports New Orleans,2016,60.353369473567874,8
Dell Curry,Fox Sports Carolinas/SportSouth,2016,22.117352264359482,4
Dennis Neumann,ESPN 580 AM,2016,21.750732303743483,5
Diamond Leung,Bay Area News Group,2016,36.93973068756327,6
Doris Burke,ESPN,2016,52.84654177531653,9
Doug Smith,The Toronto Star,2016,64.79754017025313,9
Dwain Price,Ft. Worth Star Telegam,2016,64.0053776992374,7
Eddie Johnson,Fox Sports Arizona,2016,63.367021242983306,9
Eddie Sefko,Dallas Morning News,2016,40.34762494713091,7
Eric Collins,Hornets Radio,2016,44.23025308745416,4
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,2016,75.46536452322609,9
Eric Reid,Fox Sports Sun,2016,33.7552541065472,4
Eric Smith,TSN 1050/Sportsnet 590 The Fan,2016,17.93758531204096,3
Ernie Johnson,TNT,2016,52.74550493158795,9
Ethan Skolnick,Miami Herald,2016,12.215605572251292,3
Fran Blinebury,NBA.com,2016,50.800981791084034,9
Frank Isola,Sirius Radio/New York Daily News,2016,67.26302791750385,9
Fred McLeod,Fox Sports Ohio,2016,48.12310112219083,5
Gary Gerould,Comcast SportsNet-CA,2016,55.179350290182136,9
Gary Washburn,Boston Globe,2016,77.32897700380576,9
George Blaha,WMGC / Fox Sports Detroit,2016,57.34723796427859,7
Glenn Consor,106.7 The Fan,2016,45.04894877338802,6
Grant Napear,Comcast SportsNet-CA,2016,53.38662626367679,9
Howard Beck,Bleacher Report,2016,61.361714952299835,9
Hubie Brown,ESPN,2016,55.91048804747916,9
Ian Eagle,YES Network,2016,17.435763192823416,4
Ira Winderman,South Florida Sun Sentinel,2016,30.27849058245154,4
Israel Gutierrez,ESPN.com,2016,59.67310709810408,9
JA Adande,ESPN.com,2016,51.494703375785065,9
Jack Armstrong,SportsNet/TSN,2016,17.499117912697024,3
Jason Jackson,Fox Sports Sun,2016,18.413361001797984,4
Jason Jones,Sacramento Bee,2016,67.04042241500255,9
Jason Kosmicki,Altitude Radio Network,2016,50.367683269714526,6
Jason Lieser,Palm Beach Post,2016,27.718958708335904,4
Jason Lloyd,Akron Beacon Journal,2016,50.99938381554416,7
Jason Quick,Comcast SportsNet NW,2016,34.012747824717124,6
Jeff McDonald,San Antonio Express-News,2016,60.68910311434686,9
Jeff Turner,Fox Sports Florida,2016,34.025978785219735,5
Jeff Zillgitt,USA Today,2016,53.56094866780091,9
Jerry Zgoda,Minneapolis Star Tribune,2016,59.02202681701917,9
Jessica Camerato,Comcast SportsNet,2016,37.04067866218342,6
Jim Barnett,Comcast SportsNet Bay Area,2016,41.03133747616904,5
Jim Paschke,Fox Sports Wisconsin,2016,56.68596094456431,9
Jim Petersen,Fox Sports North,2016,56.445915492166094,9
Jim Spanarkel,YES Network,2016,23.01858112115737,4
Jody Genessy,Deseret News,2016,65.08324118543594,9
Joe Cowley,Chicago Sun-Times,2016,17.465451104163904,3
Joe Freeman,The Oregonian,2016,46.02550822227224,7
Joel Meyers,Fox Sports New Orleans,2016,54.55227783515928,9
John Denton,OrlandoMagic.com,2016,46.581157711087066,6
John Michael,Cavaliers Radio,2016,24.58518777724668,6
Jon Barry,ESPN Radio,2016,68.66999498279955,9
Jon Krawczynski,Associated Press,2016,60.69154600991919,9
Jonathan Feigen,Houston Chronicle,2016,51.78221748925922,9
Jose Paneda,WAQI Radio,2016,32.87393974911425,3
K.C. Johnson,Chicago Tribune,2016,29.504618326081005,4
Keith Pompey,Philadelphia Inquirer,2016,75.16233608440129,7
Ken Berger,CBSSports.com,2016,61.9335017098968,9
Kevin Arnovitz,ESPN.com,2016,61.40190500179086,9
Kevin Calabro,ESPN Radio,2016,65.81541204154084,9
Lang Whitaker,NBA.com,2016,44.82700883627266,9
Leo Rautins,SportsNet/TSN,2016,25.8880454665062,3
Marc Berman,New York Post,2016,24.384644449281705,4
Marc Spears,The Undefeated,2016,58.74812675102033,9
Marc Stein,ESPN.com,2016,54.0830976490139,9
Marc Zumoff,Sixers TV,2016,37.891772858902605,7
Mark Boyle,107.5/1070 The Fan,2016,54.78489270660643,9
Mark Followill,TXA-21/Fox Sports Net,2016,50.99967515986708,7
Mark Medina,LA Daily News,2016,55.47275262285714,9
Marv Albert,TNT,2016,63.53981506959181,9
Matt Bullard,Root Sports Southwest,2016,15.665293499367944,4
