voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award
Antonio Harvey,Fox Sports Radio/620AM,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Davis, Anthony -- NOP","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Green, Draymond -- GS","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Thompson, Klay -- GS","Lillard, Damian -- POR","Millsap, Paul -- ATL","Nowitzki, Dirk -- DAL","Jordan, DeAndre -- LAC","DeRozan, DeMar -- TOR","Lowry, Kyle -- TOR",2016,All-NBA
Bill Land,Fox Sports Southwest,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lillard, Damian -- POR","Aldridge, LaMarcus -- SA","George, Paul -- IND","Drummond, Andre -- DET","Thompson, Klay -- GS","Lowry, Kyle -- TOR",2016,All-NBA
Bill Oram,Orange County Register,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Horford, Al -- ATL","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2016,All-NBA
Bill Reiter,CBSSports.com,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","George, Paul -- IND","Durant, Kevin -- OKC","Towns, Karl-Anthony -- MIN","Paul, Chris -- LAC","Thompson, Klay -- GS","Butler, Jimmy -- CHI","Millsap, Paul -- ATL","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2016,All-NBA
Bill Schoening,WOAI Radio,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Lillard, Damian -- POR","Paul, Chris -- LAC","Davis, Anthony -- NOP","Aldridge, LaMarcus -- SA","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2016,All-NBA
Bill Simmons,Bill Simmons Podcast/HBO,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Paul, Chris -- LAC","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Aldridge, LaMarcus -- SA","Westbrook, Russell -- OKC","Lowry, Kyle -- TOR","George, Paul -- IND","Thompson, Klay -- GS","Towns, Karl-Anthony -- MIN","Harden, James -- HOU","Lillard, Damian -- POR",2016,All-NBA
Bill Wennington,ESPN AM 1000,"Durant, Kevin -- OKC","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Leonard, Kawhi -- SA","Towns, Karl-Anthony -- MIN","Thompson, Klay -- GS","Lillard, Damian -- POR","George, Paul -- IND","Anthony, Carmelo -- NYK","Jordan, DeAndre -- LAC","Walker, Kemba -- CHA","Harden, James -- HOU",2016,All-NBA
Bob Rathbun,Fox Sports South,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Paul, Chris -- LAC","Thompson, Klay -- GS","Millsap, Paul -- ATL","George, Paul -- IND","Horford, Al -- ATL","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2016,All-NBA
Brendan Brown,MSG Network,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Davis, Anthony -- NOP","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","Hayward, Gordon -- UTA","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2016,All-NBA
Brian Davis,Fox Sports Oklahoma,"Durant, Kevin -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Aldridge, LaMarcus -- SA","Jordan, DeAndre -- LAC","Lowry, Kyle -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Davis, Anthony -- NOP","Gasol, Marc -- MEM","Thompson, Klay -- GS","Wall, John -- WAS",2016,All-NBA
Brian Lewis,New York Post,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Drummond, Andre -- DET","Paul, Chris -- LAC","Thompson, Klay -- GS","George, Paul -- IND","Davis, Anthony -- NOP","Lopez, Brook -- BKN","Lillard, Damian -- POR","Butler, Jimmy -- CHI",2016,All-NBA
