voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Ted Davis,WTMJ Radio,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Antetokounmpo, Giannis -- MIL",2015,MIP
Tim Bontemps,New York Post,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Motiejunas, Donatas -- HOU",2015,MIP
Tim Capstraw,WFAN (660),"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Tom Heinsohn,Comcast SportsNet,"Zeller, Tyler -- BOS","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2015,MIP
Vince Ellis,Detroit Free Press,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Caldwell-Pope, Kentavious -- DET",2015,MIP
Zach Lowe,Grantland,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Thompson, Klay -- GS",2015,MIP
Aaron Falk,Salt Lake Tribune,"Green, Gerald -- PHO","Davis, Anthony -- NO","Stephenson, Lance -- IND",2014,MIP
Al McCoy,KTAR Radio,"Green, Gerald -- PHO","Dragic, Goran -- PHO","Davis, Anthony -- NO",2014,MIP
Alan Horton,WCCO 830-AM,"Dragic, Goran -- PHO","Stephenson, Lance -- IND","Green, Gerald -- PHO",2014,MIP
Andy Vasquez,Bergen Record,"Dragic, Goran -- PHO","DeRozan, DeMar -- TOR","Lowry, Kyle -- TOR",2014,MIP
Baxter Holmes,Boston Globe,"Dragic, Goran -- PHO","Jordan, DeAndre -- LAC","Lowry, Kyle -- TOR",2014,MIP
Bill Land,Spurs Television,"Dragic, Goran -- PHO","Mills, Patty -- SA","Green, Gerald -- PHO",2014,MIP
Bill Oram,Orange County Register,"Dragic, Goran -- PHO","Meeks, Jodie -- LAL","Millsap, Paul -- ATL",2014,MIP
Bill Reiter,Foxsports.com,"Dragic, Goran -- PHO","Davis, Anthony -- NO","Jordan, DeAndre -- LAC",2014,MIP
Bill Schoening,WOAI Radio,"Dragic, Goran -- PHO","Jordan, DeAndre -- LAC","Mills, Patty -- SA",2014,MIP
Bill Simmons,Grantland,"Green, Gerald -- PHO","Stephenson, Lance -- IND","Morris, Markieff -- PHO",2014,MIP
Bill Worrell,Comcast SportsNet Houston,"Griffin, Blake -- LAC","Jones, Terrence -- HOU","Jordan, DeAndre -- LAC",2014,MIP
Bob Cooney,Philadelphia Daily News,"Dragic, Goran -- PHO","Stephenson, Lance -- IND","Thomas, Isaiah -- SAC",2014,MIP
Bob Fitzgerald,Comcast SportsNet Bay Area,"Griffin, Blake -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- POR",2014,MIP
Bob Rathbun,Fox Sports South,"Green, Gerald -- PHO","Dragic, Goran -- PHO","Jefferson, Al -- CHA",2014,MIP
Brendan Brown,MSG Network,"Davis, Anthony -- NO","Beal, Bradley -- WAS","Lopez, Robin -- POR",2014,MIP
