voter_name,affiliation,year,award,player,points_given,num_ballots,tot_pts,avg_pts,abs_pt_diff,sq_pt_diff
Ron Boone,ROOT Sports,2014,All-Defense,Eric Bledsoe,2,123,9,0.05737704918032787,1.9426229508196722,3.7737839290513304
Ron Tillery,Memphis Commercial Appeal,2014,All-Defense,Dwight Howard,2,123,26,0.19672131147540983,1.8032786885245902,3.251814028486966
Rusty Simmons,San Francisco Chronicle,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Sam Amick,USA Today,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
Sam Smith,Bulls.com,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Scott Hastings,Altitude Sports & Entertainment,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Sean Deveney,The Sporting News,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Sean Grande,WEEI Radio,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Sean Kelley,Pelicans Radio,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Shaun Powell,Sports on Earth,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Spero Dedes,MSG Network,2014,All-Defense,Andre Drummond,1,123,1,0,1,1
Stefan Bondy,New York Daily News,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
Stephanie Ready,SportSouth,2014,All-Defense,DeAndre Jordan,2,123,63,0.5,1.5,2.25
Steve Aschburner,NBA.com,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Steve Buckhantz,Comcast SportsNet,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Steve Holman,Hawks Radio Network,2014,All-Defense,Thabo Sefolosha,2,123,8,0.04918032786885246,1.9508196721311475,3.805697393173878
Steve Kerr,TNT,2014,All-Defense,Dwight Howard,2,123,26,0.19672131147540983,1.8032786885245902,3.251814028486966
Steve Martin,Bobcats Radio,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Ted Davis,WTMJ Radio,2014,All-Defense,Ricky Rubio,2,123,19,0.13934426229508196,1.860655737704918,3.4620397742542326
Tim Bontemps,New York Post,2014,All-Defense,Mike Conley,2,123,21,0.1557377049180328,1.8442622950819672,3.401303413061005
Tim Kempton,KTAR Radio,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Tim Roye,KNBR Radio,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Vince Ellis,Detroit Free Press,2014,All-Defense,Chris Bosh,2,123,4,0.01639344262295082,1.9836065573770492,3.934694974469229
Vincent Goodwill,Detroit News,2014,All-Defense,Roy Hibbert,2,123,76,0.6065573770491803,1.3934426229508197,1.9416823434560602
Zach Lowe,Grantland,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
A. Sherrod Blakely,Comcast SportsNet,2014,All-NBA,Russell Westbrook,3,125,32,0.23387096774193547,2.7661290322580645,7.651469823100936
Aaron Falk,Salt Lake Tribune,2014,All-NBA,DeMar DeRozan,3,125,56,0.4274193548387097,2.5725806451612905,6.618171175858482
Al McCoy,KTAR Radio,2014,All-NBA,Dirk Nowitzki,5,125,37,0.25806451612903225,4.741935483870968,22.48595213319459
Alan Horton,WCCO 830-AM,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Anthony Slater,Oklahoman,2014,All-NBA,Paul George,3,125,171,1.3548387096774193,1.6451612903225807,2.7065556711758587
Bill Land,Spurs Television,2014,All-NBA,LaMarcus Aldridge,5,125,159,1.2419354838709677,3.758064516129032,14.123048907388135
Bill Oram,Orange County Register,2014,All-NBA,LaMarcus Aldridge,3,125,159,1.2580645161290323,1.7419354838709677,3.0343392299687824
Bill Reiter,Foxsports.com,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Bill Schoening,WOAI Radio,2014,All-NBA,John Wall,3,125,70,0.5403225806451613,2.459677419354839,6.050013007284081
Bill Simmons,Grantland,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Bill Wennington,ESPN AM 1000,2014,All-NBA,Anthony Davis,3,125,40,0.29838709677419356,2.7016129032258065,7.298712278876171
Bill Worrell,Comcast SportsNet Houston,2014,All-NBA,Dwight Howard,5,125,226,1.782258064516129,3.217741935483871,10.353863163371487
Bob Cooney,Philadelphia Daily News,2014,All-NBA,Stephen Curry,1,125,489,3.935483870967742,2.935483870967742,8.61706555671176
Bob Fitzgerald,Comcast SportsNet Bay Area,2014,All-NBA,Marc Gasol,3,125,16,0.10483870967741936,2.8951612903225805,8.38195889698231
Bob Rathbun,Fox Sports South,2014,All-NBA,John Wall,3,125,70,0.5403225806451613,2.459677419354839,6.050013007284081
Brian Davis,Fox Sports Oklahoma,2014,All-NBA,DeAndre Jordan,3,125,21,0.14516129032258066,2.8548387096774195,8.150104058272634
Brian Sieman,KFWB News Talk 980 AM/KWKW,2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Brian Windhorst,ESPN.com,2014,All-NBA,Tony Parker,3,125,210,1.6693548387096775,1.3306451612903225,1.7706165452653484
Candace Buckner,Indianapolis Star,2014,All-NBA,Carmelo Anthony,3,125,86,0.6693548387096774,2.3306451612903225,5.431906867845994
Cedric Maxwell,WEEI Radio,2014,All-NBA,Damian Lillard,5,125,115,0.8870967741935484,4.112903225806452,16.91597294484912
Charles Gardner,Milwaukee Journal Sentinel,2014,All-NBA,Al Jefferson,5,125,191,1.5,3.5,12.25
Chris Broussard,ESPN The Magazine,2014,All-NBA,Dwight Howard,5,125,226,1.782258064516129,3.217741935483871,10.353863163371487
Chris Carrino,WFAN (660),2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Chris Denari,Fox Sports Indiana,2014,All-NBA,Paul George,3,125,171,1.3548387096774193,1.6451612903225807,2.7065556711758587
Chris Haynes,Comcast SportsNet NW,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Chris Mannix,Sports Illustrated,2014,All-NBA,Goran Dragic,5,125,115,0.8870967741935484,4.112903225806452,16.91597294484912
Chris Marlowe,Altitude Sports & Entertainment,2014,All-NBA,DeAndre Jordan,3,125,21,0.14516129032258066,2.8548387096774195,8.150104058272634
Chris Sheridan,Sheridanhoops.com,2014,All-NBA,Kyle Lowry,3,125,29,0.20967741935483872,2.7903225806451615,7.785900104058274
Chuck Cooperstein,ESPN 103.3,2014,All-NBA,Tony Parker,3,125,210,1.6693548387096775,1.3306451612903225,1.7706165452653484
Darnell Mayberry,Oklahoman,2014,All-NBA,LaMarcus Aldridge,3,125,159,1.2580645161290323,1.7419354838709677,3.0343392299687824
David Aldridge,TNT,2014,All-NBA,Tim Duncan,3,125,63,0.4838709677419355,2.5161290322580645,6.330905306971904
David Mayo,Mlive Media Group,2014,All-NBA,Al Jefferson,5,125,191,1.5,3.5,12.25
David Steele,Fox Sports Florida,2014,All-NBA,Dwight Howard,5,125,226,1.782258064516129,3.217741935483871,10.353863163371487
Dei Lynam,Comcast SportsNet,2014,All-NBA,Lance Stephenson,3,125,3,0,3,9
Dennis Neumann,ESPN 580 AM,2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
