voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Mike Singer,Denver Post,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","George, Paul (LAC)","Dort, Luguentz (OKC)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mirjam Swanson,Southern California News Group,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olgun Uluc,ESPN Australia,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omari Sankofa II,Detroit Free Press,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachel Nichols,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ric Bucher,Sirius Radio,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Schroder, Dennis (LAL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Noel, Nerlens (NYK)","Leonard, Kawhi (LAC)","Caldwell-Pope, Kentavious (LAL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rob Mahoney,The Ringer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Anunoby, OG (TOR)","Turner, Myles (IND)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roy Parry,Orlando Sentinel,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Young,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
