voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Stephanie Ready,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Herbert Jones, New Orleans","Alex Caruso, Chicago","Chet Holmgren, Okahoma City","Jalen Suggs, Orlando","Jaden McDaniels, Minnesota","Derrick White, Boston"
JJ Redick,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Alex Caruso, Chicago","Herbert Jones, New Orleans","Jarrett Allen, Cleveland","Jalen Suggs, Orlando","Derrick White, Boston","Kentavious Caldwell-Pope, Denver","Shai Gilgeous-Alexander, Oklahoma City"
Bill Reiter,CBSSports.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Alex Caruso, Chicago","Herbert Jones, New Orleans","Kawhi Leonard, LA Clippers","Derrick White, Boston","Jalen Suggs, Orlando","Kentavious Caldwell-Pope, Denver"
Remi Reverchon,BeIN Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Derrick White, Boston","Jaden McDaniels, Minnesota","Jarrett Allen, Cleveland","Jrue Holiday, Boston","Herbert Jones, New Orleans","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City"
Tim Reynolds,Associated Press,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Jrue Holiday, Boston","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jalen Suggs, Orlando","Anthony Davis, Los Angeles Lakers","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota"
Josh Robbins,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Luguentz Dort, Oklahoma City","Jalen Suggs, Orlando","Jrue Holiday, Boston","Alex Caruso, Chicago","Jaden McDaniels, Minnesota","Herbert Jones, New Orleans","Derrick White, Boston"
Melissa Rohlin,Fox Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Luguentz Dort, Oklahoma City","Alex Caruso, Chicago","Derrick White, Boston","Jaden McDaniels, Minnesota"
Taylor Rooks,Bleacher Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans","Alex Caruso, Chicago","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jalen Suggs, Orlando","Jarrett Allen, Cleveland","Jaden McDaniels, Minnesota"
Ryen Russillo,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jrue Holiday, Boston","Jalen Suggs, Orlando","Bam Adebayo, Miami","Luguentz Dort, Oklahoma City","Jaden McDaniels, Minnesota"
Simone Sandri,La Gazzetta dello Sport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Alex Caruso, Chicago","Herbert Jones, New Orleans","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Derrick White, Boston","Jalen Suggs, Orlando","Jaden McDaniels, Minnesota","Aaron Gordon, Denver","Anthony Davis, Los Angeles Lakers"
John Schuhmann,NBA.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Kawhi Leonard, LA Clippers","Brook Lopez, Milwaukee","Jalen Suggs, Orlando","Derrick White, Boston"
Dennis Scott,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Jarrett Allen, Cleveland","Shai Gilgeous-Alexander, Oklahoma City","De'Aaron Fox, Sacramento","Alex Caruso, Chicago","Dejounte Murray, Atlanta","Paul George, LA Clippers","Jaden McDaniels, Minnesota","Herbert Jones, New Orleans"
Ramona Shelburne,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Jrue Holiday, Boston","Chet Holmgren, Okahoma City","Jalen Suggs, Orlando","Aaron Gordon, Denver","Derrick White, Boston"
Bill Simmons,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Jalen Suggs, Orlando","Alex Caruso, Chicago","Herbert Jones, New Orleans","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Jaden McDaniels, Minnesota","Jrue Holiday, Boston","Giannis Antetokounmpo, Milwaukee"
Anthony Slater,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Derrick White, Boston","Jarrett Allen, Cleveland","Kentavious Caldwell-Pope, Denver","Chet Holmgren, Okahoma City"
Doug Smith,The Toronto Star,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Kawhi Leonard, LA Clippers","Derrick White, Boston","Jalen Suggs, Orlando","Aaron Gordon, Denver"
Stephen A. Smith,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Alex Caruso, Chicago","Bam Adebayo, Miami","Herbert Jones, New Orleans","Kawhi Leonard, LA Clippers","Derrick White, Boston","Jaden McDaniels, Minnesota","Jalen Suggs, Orlando"
Steve Smith,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Derrick White, Boston","Jaden McDaniels, Minnesota","Jalen Suggs, Orlando","Luguentz Dort, Oklahoma City","Alex Caruso, Chicago"
Seerat Sohi,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City","Bam Adebayo, Miami","Derrick White, Boston","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Jarrett Allen, Cleveland"
Justin Termine,Sirius Radio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Jalen Suggs, Orlando","Bam Adebayo, Miami","Jaden McDaniels, Minnesota","Herbert Jones, New Orleans","Derrick White, Boston","Kentavious Caldwell-Pope, Denver"
Brad Townsend,Dallas Morning News,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Herbert Jones, New Orleans","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Jarrett Allen, Cleveland","Jalen Suggs, Orlando","Kawhi Leonard, LA Clippers"
Stan Van Gundy,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Derrick White, Boston","Jrue Holiday, Boston","Alex Caruso, Chicago","Luguentz Dort, Oklahoma City","Jalen Suggs, Orlando","Josh Hart, New York","Anthony Davis, Los Angeles Lakers"
Joe Vardon,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Derrick White, Boston","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Luguentz Dort, Oklahoma City","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota"
Gary Washburn,Boston Globe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Giannis Antetokounmpo, Milwaukee","Jarrett Allen, Cleveland","Jaylen Brown, Boston","Dillon Brooks, Houston","Luguentz Dort, Oklahoma City","Bam Adebayo, Miami"
Michael Wilbon,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Herbert Jones, New Orleans","Luguentz Dort, Oklahoma City","Jrue Holiday, Boston","Alex Caruso, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Derrick White, Boston"
Brian Windhorst,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City","Alex Caruso, Chicago","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Kentavious Caldwell-Pope, Denver"
Matt Winer,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Bam Adebayo, Miami","Derrick White, Boston","Jalen Suggs, Orlando","Alex Caruso, Chicago","Luguentz Dort, Oklahoma City"
Kristian Winfield,New York Daily News,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Derrick White, Boston","Alex Caruso, Chicago","Jrue Holiday, Boston","Bam Adebayo, Miami","Chet Holmgren, Okahoma City","Jalen Suggs, Orlando"
Ryan Wolstat,The Toronto Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jalen Suggs, Orlando","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City","Jarrett Allen, Cleveland"
Michael C. Wright,NBA.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jalen Suggs, Orlando","Kentavious Caldwell-Pope, Denver"
Ohm Youngmisuk,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Herbert Jones, New Orleans","Jarrett Allen, Cleveland","Alex Caruso, Chicago","Kawhi Leonard, LA Clippers","Shai Gilgeous-Alexander, Oklahoma City","Derrick White, Boston"
Jeff Zillgitt,USA Today,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Derrick White, Boston","Jalen Suggs, Orlando","Shai Gilgeous-Alexander, Oklahoma City","Alex Caruso, Chicago","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota"
Aaron Fentress,The Oregonian,Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Mobley Evan (CLE),Antetokounmpo Giannis (MIL),Claxton Nic (BKN),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Himmelsbach,Boston Globe,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),White Derrick (BOS),Holiday Jrue (MIL),Green Draymond (GSW),McDaniels Jaden (MIN),Adebayo Bam (MIA),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Lefkoe,WarnerMedia,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Bridges Mikal (BKN),Holiday Jrue (MIL),McDaniels Jaden (MIN),Mobley Evan (CLE),Embiid Joel (PHI),Jones Herbert (NOP),Smart Marcus (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Larsen,Salt Lake Tribune,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),Jones Herbert (NOP),Brooks Dillon (MEM),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Chiang,Miami Herald,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Green Draymond (GSW),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Slater,The Athletic,Green Draymond (GSW),Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Davis Anthony (LAL),Lopez Brook (MIL),Caruso Alex (CHI),Brooks Dillon (MEM),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antoni Daimiel,Movistar+,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Brooks Dillon (MEM),Anunoby O.G. (TOR),Gordon Aaron (DEN),Adebayo Bam (MIA),White Derrick (BOS),Melton De'Anthony (PHI),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Reiter,CBSSports.com,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Adebayo Bam (MIA),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Simmons,The Ringer,Green Draymond (GSW),Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Lopez Brook (MIL),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Geltzeiler,Sirius Radio,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),White Derrick (BOS),Holiday Jrue (MIL),Antetokounmpo Giannis (MIL),Brown Jaylen (BOS),Lopez Brook (MIL),Bridges Mikal (BKN),Edwards Anthony (MIN),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Lewis,New York Post,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Mahoney,Associated Press,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),McDaniels Jaden (MIN),Green Draymond (GSW),Bridges Mikal (BKN),Caruso Alex (CHI),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Windhorst,ESPN,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callie Caplan,Dallas Morning News,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Holiday Jrue (MIL),Bridges Mikal (BKN),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Lopez Brook (MIL),Jones Herbert (NOP),Caruso Alex (CHI),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassidy Hubbarth,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),Anunoby O.G. (TOR),Claxton Nic (BKN),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chao Meng,Tencent,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Mobley Evan (CLE),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Broussard,Fox Sports,Mobley Evan (CLE),Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Anunoby O.G. (TOR),Green Draymond (GSW),Lopez Brook (MIL),Brooks Dillon (MEM),Bridges Mikal (BKN),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Fedor,Cleveland.com,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Green Draymond (GSW),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Herring,Sports Illustrated,Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),McDaniels Jaden (MIN),Adebayo Bam (MIA),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Mannix,Sports Illustrated,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),Anunoby O.G. (TOR),Embiid Joel (PHI),Dort Luguentz (OKC),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damichael Cole,Memphis Commercial Appeal,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Devine,Yahoo! Sports,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),McDaniels Jaden (MIN),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave McMenamin,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Anunoby O.G. (TOR),Mobley Evan (CLE),Claxton Nic (BKN),Caruso Alex (CHI),Butler Jimmy (MIA),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Pasch,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Holiday Jrue (MIL),Butler Jimmy (MIA),McDaniels Jaden (MIN),Green Draymond (GSW),Mobley Evan (CLE),Bridges Mikal (BKN),Smart Marcus (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Aldridge,The Athletic,Mobley Evan (CLE),Green Draymond (GSW),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),Caruso Alex (CHI),Antetokounmpo Giannis (MIL),Jones Herbert (NOP),Lopez Brook (MIL),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Villafranca,EFE News,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Caruso Alex (CHI),White Derrick (BOS),Anunoby O.G. (TOR),Mobley Evan (CLE),Claxton Nic (BKN),Holiday Jrue (MIL),Butler Jimmy (MIA),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Scott,WarnerMedia,Antetokounmpo Giannis (MIL),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),George Paul (LAC),Davis Anthony (LAL),Barnes Scottie (TOR),Jackson Jr. Jaren (MEM),Paul Chris (PHX),Smart Marcus (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doris Burke,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),Mobley Evan (CLE),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Smith,The Toronto Star,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),McDaniels Jaden (MIN),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duane Rankin,Arizona Republic,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Adebayo Bam (MIA),Claxton Nic (BKN),Thybulle Matisse (POR),Smart Marcus (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eduardo Barao,BAND,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Gilgeous-Alexander Shai (OKC),Butler Jimmy (MIA),Anunoby O.G. (TOR),Embiid Joel (PHI),Smart Marcus (BOS),Murray Dejounte (ATL),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernie Johnson,WarnerMedia,Mobley Evan (CLE),Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),Smart Marcus (BOS),McDaniels Jaden (MIN),Green Draymond (GSW),Lopez Brook (MIL),Brooks Dillon (MEM),Bridges Mikal (BKN),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Isola,Sirius Radio,Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Smart Marcus (BOS),Holiday Jrue (MIL),Adebayo Bam (MIA),Anunoby O.G. (TOR),Embiid Joel (PHI),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Washburn,Boston Globe,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),White Derrick (BOS),Holiday Jrue (MIL),Adebayo Bam (MIA),Davis Anthony (LAL),Claxton Nic (BKN),Bridges Mikal (BKN),Butler Jimmy (MIA),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Anthony,WarnerMedia,McDaniels Jaden (MIN),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Brooks Dillon (MEM),Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),Embiid Joel (PHI),White Derrick (BOS),Butler Jimmy (MIA),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howard Beck,PBWA/GQ,Green Draymond (GSW),Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Lopez Brook (MIL),Bridges Mikal (BKN),Caruso Alex (CHI),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Rose,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Mobley Evan (CLE),Green Draymond (GSW),Claxton Nic (BKN),Brooks Dillon (MEM),Caruso Alex (CHI),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamal Collier,ESPN,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Smart Marcus (BOS),2023,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
