voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Kyle Goon,Southern California News Group,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Lisa Hsu,Tencent,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Marc Kestecher,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Maria Taylor,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)",2021,DPOY
Mark Jackson,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)",2021,DPOY
Mark Medina,USA Today,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Marv Albert,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Matt Winer,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Mauricio Codocea,Clarin (Argentina),"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Max Haupt,DPA,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2021,DPOY
Melissa Rohlin,Fox Sports,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Michael C. Wright,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Michael Grange,Rogers Sportsnet,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Michael Wilbon,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Mike Singer,Denver Post,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Butler, Jimmy (MIA)",2021,DPOY
Mirjam Swanson,Southern California News Group,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Olgun Uluc,ESPN Australia,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Omari Sankofa II,Detroit Free Press,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Rachel Nichols,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
