voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Andre Voigt,DAZN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Andrew Sharp,Sports Illustrated,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Anthony Chiang,Miami Herald,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Rivers, Doc (LA Clippers)",2019,COY
Anthony Slater,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Rivers, Doc (LA Clippers)",2019,COY
Bill Oram,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Bill Simmons,The Ringer,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Brian Lewis,New York Post,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Brian Mahoney,Associated Press,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Brian Windhorst,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Clifford, Steve (Orlando Magic)","Malone, Mike (Denver Nuggets)",2019,COY
Casey Stern,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Cassidy Hubbarth,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Chris Broussard,Fox Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Chris Haynes,Yahoo! Sports,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2019,COY
Chris Mannix,Sports Illustrated,"Malone, Mike (Denver Nuggets)","Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)",2019,COY
