voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Brian Scalabrine,Comcast SportsNet New England,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Brian Sieman,The Beast 980,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Brian Windhorst,ESPN.com,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK",2016,ROY
Charles Gardner,Milwaukee Journal Sentinel,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Chris Broussard,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Chris Dempsey,Denver Post,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Chris Denari,Fox Sports Indiana,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND",2016,ROY
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Chris Marlowe,Altitude Sports & Entertainment,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Chris Sheridan,Sheridanhoops.com,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK",2016,ROY
Chuck Cooperstein,ESPN 103.3,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Craig Ackerman,Sportstalk 790 AM,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Dan Woike,Orange County Register,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Dave Johnson,106.7 The Fan,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
David Aldridge,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
David Steele,Fox Sports Florida,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2016,ROY
David Wesley,Fox Sports New Orleans,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Dell Curry,Fox Sports Carolinas/SportSouth,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Dennis Neumann,ESPN 580 AM,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Diamond Leung,Bay Area News Group,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
