voter_name,affiliation,first,first_2,first_3,first_4,first_5,second,second_2,second_3,second_4,second_5,year,award
Antoine Bancharel,Canal+ Afrique,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","White, Coby (CHI)",2020,All-Rook
Fred Katz,The Athletic,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Thybulle, Matisse (PHI)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","Washington, P.J. (CHA)",2020,All-Rook
Marc Berman,New York Post,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","White, Coby (CHI)","Clarke, Brandon (MEM)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Washington, P.J. (CHA)",2020,All-Rook
Candace Parker,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Washington, P.J. (CHA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","White, Coby (CHI)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)",2020,All-Rook
Dan Devine,The Ringer,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","White, Coby (CHI)",2020,All-Rook
Doris Burke,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Williamson, Zion (NOP)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Washington, P.J. (CHA)",2020,All-Rook
Zach Harper,The Athletic,"Barrett, R.J. (NYK)","Nunn, Kendrick (MIA)","Morant, Ja (MEM)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","White, Coby (CHI)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)",2020,All-Rook
Michael Wilbon,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Porter, Michael Jr. (DEN)","White, Coby (CHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)",2020,All-Rook
Chris Kirschner,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Washington, P.J. (CHA)","White, Coby (CHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)",2020,All-Rook
Royce Young,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Hachimura, Rui (WAS)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","White, Coby (CHI)","Hunter, De'Andre (ATL)","Paschall, Eric (GSW)","Garland, Darius (CLE)",2020,All-Rook
