voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Ramona Shelburne,ESPN,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Bill Simmons,The Ringer,"Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State","Jalen Brunson, New York",2024,CPOY
Anthony Slater,The Athletic,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Nikola Jokic, Denver",2024,CPOY
Doug Smith,The Toronto Star,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Stephen A. Smith,ESPN,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Steve Smith,WarnerMedia,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Seerat Sohi,The Ringer,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Justin Termine,Sirius Radio,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Brad Townsend,Dallas Morning News,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Stan Van Gundy,WarnerMedia,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","De'Aaron Fox, Sacramento",2024,CPOY
Joe Vardon,The Athletic,"DeMar Derozan, Chicago","Jalen Brunson, New York","Nikola Jokic, Denver",2024,CPOY
Gary Washburn,Boston Globe,"Jalen Brunson, New York","Shai Gilgeous-Alexander, Oklahoma City","Anthony Edwards, Minnesota",2024,CPOY
Michael Wilbon,ESPN,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Brian Windhorst,ESPN,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
